topic,timestamp,timestamp_ns,panda_joint1_position,panda_joint1_velocity,panda_joint1_effort,panda_joint2_position,panda_joint2_velocity,panda_joint2_effort,panda_joint3_position,panda_joint3_velocity,panda_joint3_effort,panda_joint4_position,panda_joint4_velocity,panda_joint4_effort,panda_joint5_position,panda_joint5_velocity,panda_joint5_effort,panda_joint6_position,panda_joint6_velocity,panda_joint6_effort,panda_joint7_position,panda_joint7_velocity,panda_joint7_effort,panda_finger_joint1_position,panda_finger_joint1_velocity,panda_finger_joint1_effort,panda_finger_joint2_position,panda_finger_joint2_velocity,panda_finger_joint2_effort
states,5,100000265,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,116666933,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,133333601,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,150000268,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,166666936,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,183333603,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,200000271,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,216666938,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,233333606,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
states,5,250000273,0.0127,-0.0012,-3.0934,-0.5245,-0.1673,-2721.8938,0.0001,-0.0001,-3.4596,-2.8712,0.101,3686.1216,0.0,0.0,0.0015,3.0369,-0.0001,1.1966,0.8286,-0.0721,0.0001,0.04,0.0,-0.0035,0.04,0.0,0.0035
