topic,timestamp,timestamp_ns,panda_joint1_position,panda_joint1_velocity,panda_joint1_effort,panda_joint2_position,panda_joint2_velocity,panda_joint2_effort,panda_joint3_position,panda_joint3_velocity,panda_joint3_effort,panda_joint4_position,panda_joint4_velocity,panda_joint4_effort,panda_joint5_position,panda_joint5_velocity,panda_joint5_effort,panda_joint6_position,panda_joint6_velocity,panda_joint6_effort,panda_joint7_position,panda_joint7_velocity,panda_joint7_effort,panda_finger_joint1_position,panda_finger_joint1_velocity,panda_finger_joint1_effort,panda_finger_joint2_position,panda_finger_joint2_velocity,panda_finger_joint2_effort
states,52049,336047917,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,352714585,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,369381252,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,386047920,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,402714587,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,419381255,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,436047922,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,452714590,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,469381257,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,486047925,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,502714592,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,519381260,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,536047928,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,552714595,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
states,52049,569381263,0.012,0.0,0.0,-0.5697,-0.0071,-6.908,0.0,0.0,0.0,-2.8104,0.0076,19.1588,0.0,0.0,0.0,3.0367,0.0016,1.1856,0.7514,0.0567,0.0,0.04,0.0,0.0034,0.04,0.0,-0.0034
